AgencyName,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Population,Year,County
UNIV OF TX: MEDICAL BRANCH PD,0,0,0,0,0,81,1,82,0,2017,Galveston County
GALVESTON PD,2,63,82,110,275,"1,231",284,"2,047","51,021",2017,Galveston County
GALVESTON CO SO,2,19,16,96,281,536,84,"1,034","40,841",2017,Galveston County
GALVESTON ISD PD,0,0,1,6,3,29,0,39,0,2017,Galveston County
SANTA FE ISD PD,0,0,0,0,0,20,0,20,0,2017,Galveston County
HITCHCOCK PD,0,2,0,12,39,128,21,202,"7,949",2017,Galveston County
DICKINSON PD,0,16,10,22,131,305,47,531,"20,303",2017,Galveston County
BAYOU VISTA PD (NR),0,0,0,0,1,4,0,5,"1,625",2017,Galveston County
FRIENDSWOOD PD,0,16,11,9,57,247,17,357,"39,990",2017,Galveston County
TX A&M UNIV: GALVESTON PD (NR),0,0,0,0,2,14,0,16,0,2017,Galveston County
TEXAS CITY PD,2,47,46,142,336,"1,245",123,"1,941","48,774",2017,Galveston County
LEAGUE CITY PD,3,34,18,42,218,"1,407",93,"1,815","105,351",2017,Galveston County
SANTA FE PD,0,3,3,6,42,119,18,191,"13,347",2017,Galveston County
JAMAICA BEACH PD,0,1,0,0,7,11,1,20,"1,078",2017,Galveston County
SHOREACRES PD (NR),0,0,0,0,2,7,0,9,"1,617",2017,Harris County
UNIV OF ST. THOMAS PD,0,0,0,0,0,25,0,25,0,2017,Harris County
SPRING BRANCH ISD PD,0,0,2,2,5,34,1,44,0,2017,Harris County
HOUSTON ISD PD,0,2,12,23,33,141,5,216,0,2017,Harris County
RICE UNIV PD,0,0,2,3,3,183,1,192,0,2017,Harris County
UNIV OF HOUSTON PD,0,10,10,5,32,383,25,465,0,2017,Harris County
PASADENA ISD PD,0,2,0,2,9,61,4,78,0,2017,Harris County
PORT OF HOUSTON AUTH PD,0,0,0,2,0,30,3,35,0,2017,Harris County
JACINTO CITY PD,0,0,11,7,30,189,35,272,"10,718",2017,Harris County
LA PORTE PD,0,20,16,67,77,401,49,630,"35,293",2017,Harris County
ALIEF ISD PD,0,0,25,64,8,55,11,163,0,2017,Harris County
HOUSTON PD,269,"1,366","9,773","14,201","17,108","67,828","11,596","122,141","2,338,235",2017,Harris County
WEBSTER PD,0,18,23,16,123,640,81,901,"11,149",2017,Harris County
TOMBALL PD,1,7,7,16,34,238,39,342,"11,807",2017,Harris County
JERSEY VILLAGE PD,0,1,6,7,41,103,32,190,"7,938",2017,Harris County
HUMBLE PD,1,36,61,49,136,"1,209",176,"1,668","15,631",2017,Harris County
HOUSTON BAPTIST UNIV PD,0,0,2,0,11,28,1,42,0,2017,Harris County
NASSAU BAY PD,1,1,4,0,23,84,8,121,"4,073",2017,Harris County
KATY PD,0,12,12,29,58,496,30,637,"17,669",2017,Harris County
BELLAIRE PD,0,4,20,2,45,244,12,327,"18,892",2017,Harris County
UNIV OF HOUSTON: CLEAR LAKE PD,0,2,0,0,0,23,1,26,0,2017,Harris County
HARRIS CO SO,92,533,"2,906","5,463","8,057","29,396","5,441","51,888","1,878,832",2017,Harris County
BAYTOWN PD,6,38,108,136,506,"1,846",326,"2,966","76,704",2017,Harris County
DEER PARK PD,0,12,3,23,70,396,34,538,"34,069",2017,Harris County
TEXAS SOUTHERN UNIV PD,0,5,4,1,13,148,1,172,0,2017,Harris County
HEDWIG VILLAGE PD,1,0,4,1,9,177,6,198,"2,681",2017,Harris County
HUMBLE ISD PD,0,1,2,4,2,97,3,109,0,2017,Harris County
WEST UNIVERSITY PLACE PD,0,0,9,1,44,89,4,147,"15,676",2017,Harris County
KLEIN ISD PD,0,2,5,3,2,116,5,133,0,2017,Harris County
PASADENA PD,5,93,195,418,636,"2,758",379,"4,484","154,000",2017,Harris County
SEABROOK PD,0,4,8,11,34,94,14,165,"13,958",2017,Harris County
GALENA PARK PD,0,2,5,16,26,87,16,152,"11,091",2017,Harris County
HOUSTON METRO TRANSIT PD,0,0,1,2,0,29,5,37,0,2017,Harris County
MEMORIAL VILLAGES PD,0,0,1,0,10,75,0,86,"12,319",2017,Harris County
ALDINE ISD PD,0,0,5,7,31,97,9,149,0,2017,Harris County
UNIV OF  HOUSTON:  DOWNTOWN PD,0,0,0,0,1,35,4,40,0,2017,Harris County
SPRING VALLEY VILLAGE PD,0,0,2,2,4,64,4,76,"4,312",2017,Harris County
SOUTH HOUSTON PD,0,3,25,29,73,284,106,520,"17,537",2017,Harris County
KATY ISD PD,0,4,2,1,8,266,0,281,0,2017,Harris County
SPRING ISD PD,0,5,5,40,1,55,2,108,0,2017,Harris County
HOUSTON COMM COLLEGE PD,0,1,8,1,11,149,16,186,0,2017,Harris County
SOUTHSIDE PLACE PD,0,0,1,1,3,20,0,25,"1,857",2017,Harris County
LAKEVIEW PD,0,1,0,4,9,38,6,58,"6,410",2017,Harris County
UNIV OF TX: HOUSTON  PD,0,1,0,1,20,250,5,277,0,2017,Harris County
DAYTON PD,0,2,8,19,33,142,20,224,"7,815",2017,Matagorda County
CLEVELAND PD (NR),0,4,9,41,27,208,30,319,"8,183",2017,Matagorda County
LIBERTY PD,0,11,5,36,35,181,12,280,"9,308",2017,Matagorda County
MATAGORDA CO SO,0,6,6,59,73,220,13,377,"14,712",2017,Matagorda County
BAY CITY ISD PD,0,0,3,1,4,6,0,14,0,2017,Matagorda County
PALACIOS PD,0,0,2,5,40,78,3,128,"4,676",2017,Matagorda County
BAY CITY PD,3,10,23,59,154,422,11,682,"17,842",2017,Matagorda County
OAK RIDGE NORTH PD,0,0,2,0,1,18,2,23,"3,184",2017,Montgomery County
STAGECOACH PD (NR),0,0,0,0,0,0,0,0,612,2017,Montgomery County
MONTGOMERY PD,0,1,0,0,1,7,0,9,985,2017,Montgomery County
WILLIS PD,0,8,9,25,27,123,11,203,"6,450",2017,Montgomery County
MONTGOMERY CO SO,17,72,88,357,731,"3,014",506,"4,785","458,006",2017,Montgomery County
WOODBRANCH PD (CB),0,0,0,0,3,4,0,7,"1,396",2017,Montgomery County
MAGNOLIA PD,0,0,1,0,9,15,2,27,"2,107",2017,Montgomery County
SPLENDORA PD,0,0,0,2,7,5,4,18,"2,026",2017,Montgomery County
CONROE ISD PD,0,12,1,11,7,137,2,170,0,2017,Montgomery County
CONROE PD,4,59,65,126,277,"1,489",177,"2,197","85,534",2017,Montgomery County
PATTON VILLAGE PD,1,0,0,2,7,23,7,40,"1,953",2017,Montgomery County
ROMAN FOREST PD,0,0,0,0,4,6,2,12,"1,927",2017,Montgomery County
SHENANDOAH PD,0,3,6,5,14,189,27,244,"3,019",2017,Montgomery County
LIVINGSTON PD,0,3,1,20,34,177,7,242,"5,107",2017,Polk County
CORRIGAN PD,0,0,1,10,8,15,4,38,"1,586",2017,Polk County
POLK CO SO,5,38,3,34,179,351,52,662,"39,062",2017,Polk County
ONALASKA PD,0,1,0,8,5,5,3,22,"2,529",2017,Polk County
SAN JACINTO CO SO,0,27,3,26,195,198,73,522,"27,895",2017,San Jacinto County
HUNTSVILLE PD,1,24,24,113,102,490,86,840,"41,634",2017,Walker County
WALKER CO SO,3,24,7,39,91,85,32,281,"30,336",2017,Walker County
WALLER CO SO,1,17,4,11,93,174,28,328,"27,654",2017,Waller County
BROOKSHIRE PD,0,2,3,14,17,33,12,81,"5,323",2017,Waller County
TX A&M UNIV: PRAIRIE VIEW PD,0,7,2,3,27,30,0,69,0,2017,Waller County
HEMPSTEAD PD,0,6,5,65,49,112,7,244,"7,774",2017,Waller County
WALLER PD,0,1,1,5,13,42,5,67,"2,847",2017,Waller County
PRAIRIE VIEW PD,1,0,1,10,11,13,1,37,"6,597",2017,Waller County
WHARTON PD,0,1,14,36,54,226,6,337,"8,769",2017,Wharton County
WHARTON CO SO,1,12,7,58,87,161,37,363,"21,211",2017,Wharton County
EL CAMPO PD,1,3,2,33,69,259,19,386,"11,782",2017,Wharton County
BELLVILLE PD,0,3,0,10,5,43,5,66,"4,257",2018,Austin County
SEALY ISD PD,0,0,0,0,0,0,0,0,0,2018,Austin County
AUSTIN CO SO,0,6,0,8,48,36,16,114,"17,807",2018,Austin County
WALLIS PD,0,0,0,5,1,4,0,10,"1,304",2018,Austin County
SEALY PD,0,2,3,9,28,55,8,105,"6,544",2018,Austin County
SWEENY PD,0,5,1,2,10,69,4,91,"3,753",2018,Brazoria County
WEST COLUMBIA PD,0,2,0,5,23,69,4,103,"3,899",2018,Brazoria County
OYSTER CREEK PD,0,0,1,15,6,16,5,43,"1,163",2018,Brazoria County
MANVEL PD,0,3,0,9,32,36,6,86,"11,097",2018,Brazoria County
DANBURY PD (NR),1,0,0,1,0,0,0,2,"1,777",2018,Brazoria County
SURFSIDE BEACH PD,0,2,1,3,7,25,1,39,582,2018,Brazoria County
ALVIN COMM COLLEGE PD,0,0,0,0,0,5,0,5,0,2018,Brazoria County
ANGLETON ISD PD,0,2,0,7,4,18,0,31,0,2018,Brazoria County
ANGLETON PD,0,6,2,24,45,173,23,273,"19,650",2018,Brazoria County
COLUMBIA-BRAZORIA ISD PD,0,0,0,0,0,2,0,2,0,2018,Brazoria County
BRAZOSPORT ISD PD,0,1,0,13,0,18,0,32,0,2018,Brazoria County
PEARLAND PD,2,21,32,67,215,"1,534",94,"1,965","124,179",2018,Brazoria County
ALVIN PD,1,17,11,28,48,370,49,524,"26,798",2018,Brazoria County
BRAZORIA CO SO,0,20,35,116,251,838,137,"1,397","120,066",2018,Brazoria County
CLUTE PD,0,20,8,11,41,226,23,329,"11,695",2018,Brazoria County
ALVIN ISD PD,0,3,2,7,6,148,0,166,0,2018,Brazoria County
RICHWOOD PD,0,2,2,0,7,24,4,39,"3,967",2018,Brazoria County
FREEPORT PD,0,5,1,43,24,136,0,209,"12,185",2018,Brazoria County
JONES CREEK PD (NR),0,0,1,0,9,17,1,28,"2,099",2018,Brazoria County
LAKE JACKSON PD,0,21,7,22,61,459,33,603,"27,568",2018,Brazoria County
BRAZORIA PD,0,1,3,4,11,58,6,83,"3,109",2018,Brazoria County
COLLEGE STATION PD,1,76,30,130,285,"1,988",149,"2,659","116,565",2018,Brazos County
BRYAN PD,2,55,53,222,373,"1,561",139,"2,405","85,152",2018,Brazos County
BRAZOS CO SO,1,9,0,37,75,199,31,352,"24,658",2018,Brazos County
TX A&M UNIV: COLLEGE STATION PD,0,10,0,6,51,339,11,417,0,2018,Brazos County
CHAMBERS CO SO,3,4,10,40,111,436,72,676,"31,682",2018,Chambers County
MONT BELVIEU PD,0,2,0,4,15,75,13,109,"6,301",2018,Chambers County
BARBERS HILL ISD PD,0,0,0,0,0,2,0,2,0,2018,Chambers County
ARCOLA PD,0,0,2,0,1,6,3,12,"2,444",2018,Fort Bend County
MEADOWS PLACE PD,0,1,7,4,16,85,10,123,"4,621",2018,Fort Bend County
NEEDVILLE PD,0,1,0,3,2,14,2,22,"3,083",2018,Fort Bend County
SUGAR LAND PD,0,15,45,22,186,"1,288",63,"1,619","89,919",2018,Fort Bend County
FORT BEND CO SO,6,119,144,552,593,"3,156",209,"4,779","493,696",2018,Fort Bend County
FORT BEND ISD PD,0,0,0,112,1,233,0,346,0,2018,Fort Bend County
MISSOURI CITY PD,5,21,27,49,96,674,45,917,"75,628",2018,Fort Bend County
ROSENBERG PD,1,25,26,98,97,442,63,752,"38,541",2018,Fort Bend County
FULSHEAR PD,0,0,0,2,2,60,0,64,"13,790",2018,Fort Bend County
RICHMOND PD,1,9,7,29,58,187,10,301,"12,130",2018,Fort Bend County
STAFFORD PD,1,18,23,58,95,473,53,721,"18,393",2018,Fort Bend County
LA MARQUE PD,1,6,24,42,129,729,46,977,"17,107",2018,Galveston County
COLLEGE OF THE MAINLAND PD (NR),0,0,0,0,1,4,0,5,0,2018,Galveston County
UNIV OF TX: MEDICAL BRANCH PD,0,0,0,0,2,76,1,79,0,2018,Galveston County
KEMAH PD,0,2,1,2,15,109,15,144,"2,060",2018,Galveston County
GALVESTON PD,7,82,70,106,176,"1,110",253,"1,804","50,896",2018,Galveston County
GALVESTON CO SO,1,14,16,97,196,428,69,821,"41,507",2018,Galveston County
GALVESTON ISD PD,0,0,0,10,0,14,0,24,0,2018,Galveston County
SANTA FE ISD PD,10,1,0,27,0,11,0,49,0,2018,Galveston County
HITCHCOCK PD,0,0,8,18,51,97,11,185,"8,038",2018,Galveston County
BAYOU VISTA PD (NR),0,0,0,0,1,4,1,6,"1,637",2018,Galveston County
DICKINSON PD,0,17,10,17,77,298,35,454,"20,600",2018,Galveston County
FRIENDSWOOD PD,0,16,9,9,62,252,18,366,"40,419",2018,Galveston County
TX A&M UNIV: GALVESTON PD (NR),0,2,0,0,1,18,0,21,0,2018,Galveston County
TEXAS CITY PD,5,46,62,123,278,"1,100",111,"1,725","49,044",2018,Galveston County
SANTA FE PD,0,7,4,6,45,108,18,188,"13,600",2018,Galveston County
LEAGUE CITY PD,1,41,20,47,215,"1,485",114,"1,923","108,275",2018,Galveston County
JAMAICA BEACH PD,0,0,1,5,1,8,2,17,"1,088",2018,Galveston County
PORT OF HOUSTON AUTH PD,0,0,0,0,3,21,1,25,0,2018,Harris County
UNIV OF HOUSTON PD,0,9,10,7,43,419,19,507,0,2018,Harris County
UNIV OF ST. THOMAS PD,0,0,0,0,3,14,0,17,0,2018,Harris County
RICE UNIV PD,0,0,0,1,6,134,3,144,0,2018,Harris County
SPRING BRANCH ISD PD,0,1,1,2,8,40,3,55,0,2018,Harris County
HOUSTON ISD PD,0,40,16,27,59,265,20,427,0,2018,Harris County
PASADENA ISD PD,0,0,3,2,7,50,3,65,0,2018,Harris County
JACINTO CITY PD,0,0,9,8,38,152,42,249,"10,675",2018,Harris County
LA PORTE PD,2,21,10,32,71,334,52,522,"35,591",2018,Harris County
SHOREACRES PD (NR),0,0,0,0,4,6,1,11,"1,624",2018,Harris County
HOUSTON BAPTIST UNIV PD,0,0,1,0,23,16,1,41,0,2018,Harris County
HUMBLE PD,2,44,55,44,155,"1,202",205,"1,707","16,122",2018,Harris County
WEBSTER PD,0,12,16,19,84,594,96,821,"11,194",2018,Harris County
HOUSTON PD,281,"1,342","8,779","13,802","16,060","65,885","11,968","118,117","2,344,966",2018,Harris County
TOMBALL PD,0,1,2,2,4,13,2,24,"11,855",2018,Harris County
ALIEF ISD PD,0,0,6,39,4,44,7,100,0,2018,Harris County
JERSEY VILLAGE PD,0,0,3,4,32,109,26,174,"7,974",2018,Harris County
BELLAIRE PD,0,4,13,9,58,191,16,291,"19,076",2018,Harris County
BAYTOWN PD,2,35,94,171,384,"2,028",499,"3,213","77,539",2018,Harris County
KATY PD,0,18,14,18,38,496,29,613,"18,965",2018,Harris County
NASSAU BAY PD,0,4,5,7,10,84,8,118,"4,058",2018,Harris County
UNIV OF HOUSTON: CLEAR LAKE PD,0,0,0,0,1,20,0,21,0,2018,Harris County
HARRIS CO SO,86,591,"2,271","6,260","7,640","28,113","5,955","50,916","1,919,494",2018,Harris County
DEER PARK PD,0,7,5,18,63,384,45,522,"34,155",2018,Harris County
TEXAS SOUTHERN UNIV PD,0,4,9,3,9,120,2,147,0,2018,Harris County
HEDWIG VILLAGE PD,0,0,1,4,7,128,8,148,"2,685",2018,Harris County
WEST UNIVERSITY PLACE PD,0,1,1,0,35,71,5,113,"15,759",2018,Harris County
KLEIN ISD PD,0,5,0,4,2,113,3,127,0,2018,Harris County
HUMBLE ISD PD,0,1,1,5,0,47,1,55,0,2018,Harris County
ALDINE ISD PD,0,0,4,7,15,63,3,92,0,2018,Harris County
GALENA PARK PD,2,4,6,17,37,102,17,185,"11,000",2018,Harris County
SAN JACINTO COLLEGE PD,0,0,0,0,4,45,7,56,0,2018,Harris County
HOUSTON METRO TRANSIT PD,0,1,1,2,0,39,16,59,0,2018,Harris County
MEMORIAL VILLAGES PD,0,0,2,2,15,54,3,76,"12,402",2018,Harris County
PASADENA PD,7,109,159,404,519,"2,603",345,"4,146","154,101",2018,Harris County
SEABROOK PD,0,12,2,11,34,98,12,169,"13,958",2018,Harris County
UNIV OF  HOUSTON:  DOWNTOWN PD,0,0,0,2,0,15,0,17,0,2018,Harris County
KATY ISD PD,0,10,5,4,1,228,0,248,0,2018,Harris County
SOUTH HOUSTON PD,1,7,35,31,75,247,106,502,"17,619",2018,Harris County
SPRING VALLEY VILLAGE PD,0,0,1,2,11,57,5,76,"4,363",2018,Harris County
UNIV OF TX: HOUSTON  PD,0,6,5,7,12,290,2,322,0,2018,Harris County
SOUTHSIDE PLACE PD,0,0,0,0,2,13,1,16,"1,874",2018,Harris County
HOUSTON COMM COLLEGE PD,0,0,6,2,8,125,16,157,0,2018,Harris County
SPRING ISD PD,0,3,1,50,2,42,5,103,0,2018,Harris County
LAKEVIEW PD,0,2,1,3,8,41,5,60,"6,388",2018,Harris County
LIBERTY CO SO,2,46,4,125,237,333,98,845,"59,062",2018,Liberty County
DAYTON PD,0,2,11,11,32,174,30,260,"8,070",2018,Liberty County
CLEVELAND PD (NR),0,0,5,32,43,275,29,384,"8,171",2018,Liberty County
LIBERTY PD,0,5,4,24,21,145,18,217,"9,334",2018,Liberty County
MATAGORDA CO SO,2,7,2,46,96,184,26,363,"14,605",2018,Matagorda County
BAY CITY ISD PD,0,0,0,10,0,3,0,13,0,2018,Matagorda County
PALACIOS PD,0,1,2,9,41,54,3,110,"4,634",2018,Matagorda County
BAY CITY PD,3,13,18,45,129,561,18,787,"17,517",2018,Matagorda County
OAK RIDGE NORTH PD,0,0,1,1,5,25,5,37,"3,143",2018,Montgomery County
WILLIS PD,0,7,6,27,25,101,15,181,"6,515",2018,Montgomery County
MONTGOMERY PD,0,0,0,4,2,6,0,12,"1,034",2018,Montgomery County
WOODBRANCH PD (CB),0,0,0,0,1,0,0,1,"1,379",2018,Montgomery County
MONTGOMERY CO SO,10,107,132,598,979,"3,421",518,"5,765","469,874",2018,Montgomery County
MAGNOLIA PD,0,0,1,2,4,13,1,21,"2,143",2018,Montgomery County
SPLENDORA PD,0,0,2,2,21,16,7,48,"2,109",2018,Montgomery County
CONROE ISD PD,0,18,2,6,5,93,0,124,0,2018,Montgomery County
CONROE PD,3,54,49,119,287,"1,768",137,"2,417","87,544",2018,Montgomery County
PATTON VILLAGE PD,0,1,0,2,5,7,2,17,"2,016",2018,Montgomery County
ROMAN FOREST PD,0,1,0,0,0,0,1,2,"1,968",2018,Montgomery County
SHENANDOAH PD,1,2,4,4,34,200,21,266,"3,008",2018,Montgomery County
LIVINGSTON PD,0,7,10,22,34,211,16,300,"5,128",2018,Polk County
CORRIGAN PD,0,0,0,2,4,19,2,27,"1,581",2018,Polk County
POLK CO SO,1,15,2,52,177,295,43,585,"40,100",2018,Polk County
ONALASKA PD,0,0,0,8,17,9,4,38,"2,771",2018,Polk County
SAN JACINTO CO SO,0,16,2,24,144,168,48,402,"28,457",2018,San Jacinto County
HUNTSVILLE PD,0,18,15,105,102,518,53,811,"41,651",2018,Walker County
WALKER CO SO,1,21,4,40,79,113,18,276,"30,980",2018,Walker County
BROOKSHIRE PD,0,2,7,15,10,51,9,94,"5,346",2018,Waller County
WALLER CO SO,0,35,3,33,93,238,18,420,"27,910",2018,Waller County
TX A&M UNIV: PRAIRIE VIEW PD,0,9,0,3,15,75,3,105,0,2018,Waller County
HEMPSTEAD PD,0,4,10,76,44,153,8,295,"7,969",2018,Waller County
PRAIRIE VIEW PD,1,3,1,1,3,18,1,28,"6,526",2018,Waller County
WALLER PD,0,1,0,1,10,31,2,45,"3,546",2018,Waller County
WHARTON CO SO,3,15,4,46,66,145,18,297,"21,432",2018,Wharton County
WHARTON PD,0,0,3,26,60,187,9,285,"8,754",2018,Wharton County
EL CAMPO PD,0,2,1,39,37,195,12,286,"11,764",2018,Wharton County
BELLVILLE PD,0,3,1,8,2,38,0,52,"4,288",2019,Austin County
SEALY ISD PD,0,0,0,0,0,1,0,1,0,2019,Austin County
AUSTIN CO SO,0,2,0,11,40,29,18,100,"17,806",2019,Austin County
SEALY PD,0,0,2,9,36,73,11,131,"6,593",2019,Austin County
WALLIS PD,0,0,0,10,2,6,0,18,"1,322",2019,Austin County
SWEENY PD,0,1,3,4,12,59,1,80,"3,745",2019,Brazoria County
WEST COLUMBIA PD,0,5,1,6,11,44,9,76,"3,881",2019,Brazoria County
OYSTER CREEK PD,0,0,0,14,7,19,3,43,"1,170",2019,Brazoria County
MANVEL PD,0,2,2,9,49,58,11,131,"12,721",2019,Brazoria County
SURFSIDE BEACH PD,0,1,0,0,3,19,2,25,594,2019,Brazoria County
DANBURY PD (NR),0,0,0,0,3,3,1,7,"1,779",2019,Brazoria County
ALVIN COMM COLLEGE PD,0,0,0,0,0,0,0,0,0,2019,Brazoria County
ANGLETON ISD PD,0,0,1,8,0,9,0,18,0,2019,Brazoria County
ANGLETON PD,0,15,8,28,39,218,20,328,"19,660",2019,Brazoria County
COLUMBIA-BRAZORIA ISD PD,0,0,0,3,0,3,0,6,0,2019,Brazoria County
BRAZOSPORT ISD PD,0,1,0,13,1,12,0,27,0,2019,Brazoria County
PEARLAND PD,3,24,46,39,248,"1,716",105,"2,181","126,206",2019,Brazoria County
ALVIN PD,1,25,12,27,80,513,74,732,"27,159",2019,Brazoria County
BRAZORIA CO SO,4,13,34,119,306,851,168,"1,495","120,569",2019,Brazoria County
CLUTE PD,0,15,7,26,70,170,31,319,"11,740",2019,Brazoria County
ALVIN ISD PD,0,1,0,27,2,135,3,168,0,2019,Brazoria County
RICHWOOD PD,0,3,0,0,13,49,7,72,"4,007",2019,Brazoria County
FREEPORT PD,0,4,5,36,52,205,0,302,"12,213",2019,Brazoria County
JONES CREEK PD (NR),0,0,1,1,2,11,0,15,"2,110",2019,Brazoria County
BROOKSIDE VILLAGE PD (NR),0,0,0,0,5,2,3,10,"1,603",2019,Brazoria County
IOWA COLONY PD,0,1,0,0,8,6,0,15,"2,024",2019,Brazoria County
LAKE JACKSON PD,2,10,12,33,84,597,22,760,"27,624",2019,Brazoria County
BRAZORIA PD,0,2,1,7,7,60,12,89,"3,123",2019,Brazoria County
Brazoria County total,10,123,133,400,"1,002","4,759",472,"6,899","381,928",2019,Brazoria County
BRYAN PD,2,90,57,221,336,"1,444",148,"2,298","86,632",2019,Brazos County
COLLEGE STATION PD,3,69,46,134,379,"1,503",165,"2,299","119,246",2019,Brazos County
BRAZOS CO SO,0,13,1,15,93,200,13,335,"23,654",2019,Brazos County
TX A&M UNIV: COLLEGE STATION PD,0,5,3,3,33,354,29,427,0,2019,Brazos County
CHAMBERS CO SO,1,12,8,62,129,404,74,690,"32,326",2019,Chambers County
MONT BELVIEU PD,0,1,1,5,16,121,31,175,"6,647",2019,Chambers County
BARBERS HILL ISD PD,0,0,0,0,0,4,0,4,0,2019,Chambers County
FULSHEAR PD,0,0,0,0,6,76,7,89,"13,967",2019,Fort Bend County
RICHMOND PD,0,8,6,31,36,178,10,269,"12,086",2019,Fort Bend County
STAFFORD PD,1,23,31,53,63,500,44,715,"18,380",2019,Fort Bend County
NEEDVILLE PD,0,0,1,0,0,2,0,3,"3,094",2019,Fort Bend County
SUGAR LAND PD,3,14,26,25,190,"1,303",65,"1,626","119,944",2019,Fort Bend County
MEADOWS PLACE PD,0,0,1,4,14,121,13,153,"4,616",2019,Fort Bend County
ARCOLA PD,0,0,1,0,12,28,13,54,"2,627",2019,Fort Bend County
MISSOURI CITY PD,1,13,24,68,106,619,51,882,"75,747",2019,Fort Bend County
FORT BEND ISD PD,0,4,3,146,5,232,3,393,0,2019,Fort Bend County
ROSENBERG PD,0,36,20,95,133,491,63,838,"38,936",2019,Fort Bend County
FORT BEND CO SO,10,126,118,585,687,"3,636",300,"5,462","482,965",2019,Fort Bend County
LA MARQUE PD,2,10,17,42,103,617,56,847,"17,088",2019,Galveston County
COLLEGE OF THE MAINLAND PD (NR),0,0,0,0,0,6,0,6,0,2019,Galveston County
UNIV OF TX: MEDICAL BRANCH PD,0,1,0,5,0,66,8,80,0,2019,Galveston County
KEMAH PD,1,2,3,2,5,89,11,113,"2,056",2019,Galveston County
GALVESTON PD,3,80,71,88,204,"1,182",263,"1,891","50,801",2019,Galveston County
GALVESTON CO SO,2,30,16,72,169,433,94,816,"40,394",2019,Galveston County
GALVESTON ISD PD,0,3,0,11,3,28,1,46,0,2019,Galveston County
SANTA FE ISD PD,0,0,0,21,0,9,0,30,0,2019,Galveston County
BAYOU VISTA PD (NR),0,1,0,1,7,5,0,14,"1,648",2019,Galveston County
DICKINSON PD,0,25,15,26,72,234,68,440,"21,101",2019,Galveston County
FRIENDSWOOD PD,0,12,8,6,53,193,18,290,"40,735",2019,Galveston County
TX A&M UNIV: GALVESTON PD (NR),0,0,0,0,0,14,0,14,0,2019,Galveston County
LEAGUE CITY PD,3,57,14,48,193,"1,212",87,"1,614","109,401",2019,Galveston County
SANTA FE PD,0,5,4,6,21,88,17,141,"13,657",2019,Galveston County
TEXAS CITY PD,5,29,52,113,184,"1,092",126,"1,601","49,659",2019,Galveston County
JAMAICA BEACH PD,0,0,0,3,2,2,5,12,"1,091",2019,Galveston County
RICE UNIV PD,0,1,1,1,2,170,8,183,0,2019,Harris County
PASADENA ISD PD,0,1,0,9,7,32,2,51,0,2019,Harris County
UNIV OF HOUSTON PD,0,9,9,5,45,371,19,458,0,2019,Harris County
PORT OF HOUSTON AUTH PD,0,1,0,0,1,6,1,9,0,2019,Harris County
HOUSTON ISD PD,0,44,14,33,112,237,13,453,0,2019,Harris County
SPRING BRANCH ISD PD,0,1,1,11,7,57,8,85,0,2019,Harris County
JACINTO CITY PD,0,0,5,8,20,176,32,241,"10,632",2019,Harris County
LA PORTE PD,1,14,15,52,73,394,55,604,"35,622",2019,Harris County
UNIV OF ST. THOMAS PD,0,0,0,0,3,32,0,35,0,2019,Harris County
ALIEF ISD PD,0,0,11,23,1,44,3,82,0,2019,Harris County
JERSEY VILLAGE PD,0,0,8,11,58,94,28,199,"8,006",2019,Harris County
HUMBLE PD,1,34,58,96,110,"1,394",177,"1,870","16,157",2019,Harris County
HOUSTON BAPTIST UNIV PD,0,0,0,0,5,11,1,17,0,2019,Harris County
TOMBALL PD,0,0,0,0,0,0,0,0,"11,897",2019,Harris County
HOUSTON PD,281,"1,382","9,168","14,643","17,075","71,799","13,170","127,518","2,355,606",2019,Harris County
WEBSTER PD,0,16,10,18,57,455,61,617,"11,273",2019,Harris County
HARRIS CO SO,97,860,"2,249","4,123","7,044","29,466","6,016","49,855","1,931,639",2019,Harris County
KATY PD,0,22,19,21,64,694,39,859,"19,966",2019,Harris County
UNIV OF HOUSTON: CLEAR LAKE PD,0,0,0,0,0,34,0,34,0,2019,Harris County
BAYTOWN PD,3,49,91,182,447,"2,005",386,"3,163","77,707",2019,Harris County
NASSAU BAY PD,0,3,2,5,7,77,6,100,"4,040",2019,Harris County
DEER PARK PD,4,22,5,17,52,464,37,601,"34,167",2019,Harris County
BELLAIRE PD,1,5,11,12,56,266,19,370,"19,233",2019,Harris County
HEDWIG VILLAGE PD,0,0,6,0,6,196,6,214,"2,684",2019,Harris County
TEXAS SOUTHERN UNIV PD,0,5,4,6,14,71,10,110,0,2019,Harris County
HUMBLE ISD PD,0,2,1,2,0,47,2,54,0,2019,Harris County
WEST UNIVERSITY PLACE PD,0,1,4,1,49,68,7,130,"15,818",2019,Harris County
KLEIN ISD PD,0,4,1,14,0,130,1,150,0,2019,Harris County
PASADENA PD,8,88,183,572,531,"2,798",546,"4,726","153,689",2019,Harris County
SEABROOK PD,0,10,2,8,32,146,20,218,"14,611",2019,Harris County
HOUSTON METRO TRANSIT PD,0,0,2,7,0,47,5,61,0,2019,Harris County
MEMORIAL VILLAGES PD,0,0,1,7,18,56,1,83,"12,472",2019,Harris County
