County,Year,Murder,Rape,Assault,Burglary,Larceny,Auto_Theft,Total_Crime,Population,Violent_Offenses,NonViolent_Offenses
Floyd County,2015,0,2,10,29,67,8,117,5855,12,104
Floyd County,2016,1,5,21,35,60,6,128,5789,27,101
Floyd County,2017,0,4,32,36,45,7,125,5834,36,88
Floyd County,2018,0,8,29,21,45,6,112,5765,37,72
Floyd County,2019,0,2,26,16,41,3,89,5735,28,60
Floyd County,2020,0,1,11,21,38,5,77,5622,12,64
Foard County,2015,0,0,0,0,0,0,0,895,0,0
Foard County,2016,0,0,0,0,0,0,0,850,0,0
Foard County,2017,0,0,0,0,0,0,0,823,0,0
Foard County,2018,0,0,0,0,0,0,0,854,0,0
Foard County,2019,0,0,0,1,2,0,3,338,0,3
Foard County,2020,0,0,0,0,0,0,0,329,0,0
Fort Bend County,2015,14,147,873,1915,7842,507,11597,680418,1034,10264
Fort Bend County,2016,29,157,749,1998,6643,549,10438,702338,935,9190
Fort Bend County,2017,13,186,874,1332,6572,512,9816,728805,1073,8416
Fort Bend County,2018,14,209,929,1147,6618,458,9656,752245,1152,8223
Fort Bend County,2019,15,224,1007,1252,7186,569,10484,772362,1246,9007
Fort Bend County,2020,22,226,1039,1132,6606,684,9954,797951,1287,8422
Franklin County,2015,3,3,6,40,67,10,130,9919,12,117
Franklin County,2016,1,9,17,46,40,6,119,9923,27,92
Franklin County,2017,0,6,19,45,34,7,111,9894,25,86
Franklin County,2018,1,0,15,21,26,4,68,10055,16,51
Franklin County,2019,0,1,5,10,15,2,32,10020,6,27
Franklin County,2020,0,4,14,19,25,5,68,10007,18,49
Freestone County,2015,1,0,21,69,120,11,224,19794,22,200
Freestone County,2016,0,5,21,91,126,16,261,19610,26,233
Freestone County,2017,0,5,20,69,121,19,239,19573,25,209
Freestone County,2018,0,0,23,66,120,12,226,19545,23,198
Freestone County,2019,1,7,38,91,138,18,296,19684,46,247
Freestone County,2020,0,1,38,99,112,31,283,19641,39,242
Frio County,2015,0,1,27,151,224,19,430,18909,28,394
Frio County,2016,0,2,25,120,208,14,376,19062,27,342
Frio County,2017,0,0,32,132,272,30,467,19238,32,434
Frio County,2018,2,1,47,115,189,16,373,19904,50,320
Frio County,2019,0,0,24,94,123,25,267,20035,24,242
Frio County,2020,1,3,29,189,95,21,340,20606,33,305
Gaines County,2015,0,2,12,59,177,16,266,19961,14,252
Gaines County,2016,0,4,15,64,159,12,255,20527,19,235
Gaines County,2017,2,5,44,52,147,24,275,20987,51,223
Gaines County,2018,0,7,53,56,135,19,272,21058,60,210
Gaines County,2019,2,5,29,56,127,19,240,21224,36,202
Gaines County,2020,0,1,29,48,101,37,217,21902,30,186
Galveston County,2015,14,192,404,1521,6242,572,9177,333684,610,8335
Galveston County,2016,19,214,531,1617,6590,632,9844,340859,764,8839
Galveston County,2017,15,220,497,1513,6108,759,9319,349112,732,8380
Galveston County,2018,25,234,509,1250,5851,694,8788,354271,768,7795
Galveston County,2019,16,255,444,1016,5270,754,7955,347631,715,7040
Galveston County,2020,28,258,641,1088,5268,855,8316,360636,927,7211
Garza County,2015,0,2,2,30,38,4,76,6443,4,72
Garza County,2016,0,4,5,13,37,3,63,6386,9,53
Garza County,2017,0,2,11,14,44,3,74,6431,13,61
Garza County,2018,0,0,7,15,17,3,42,6520,7,35
Garza County,2019,0,5,10,17,11,2,45,6551,15,30
Garza County,2020,0,10,12,9,7,2,40,6184,22,18
Gillespie County,2015,2,1,5,29,188,15,240,25741,8,232
Gillespie County,2016,0,0,12,53,205,13,284,26108,12,271
Gillespie County,2017,0,0,11,35,177,3,229,26778,11,215
Gillespie County,2018,3,3,11,27,131,9,185,26832,17,167
Gillespie County,2019,1,3,20,17,163,6,211,26884,24,186
Gillespie County,2020,0,4,12,31,103,9,160,27141,16,143
Glasscock County,2015,0,0,0,5,4,1,11,1310,0,10
Glasscock County,2016,0,0,0,7,8,2,17,1329,0,17
Glasscock County,2017,0,0,4,16,9,2,31,1328,4,27
Glasscock County,2018,0,0,0,2,18,1,21,1362,0,21
Glasscock County,2019,0,0,1,5,16,5,27,1400,1,26
Glasscock County,2020,0,0,3,6,9,5,23,1425,3,20
Goliad County,2015,0,2,16,23,71,4,117,7651,18,98
Goliad County,2016,0,2,12,38,51,3,108,7571,14,92
Goliad County,2017,1,2,13,28,60,4,108,7559,16,92
Goliad County,2018,0,4,9,27,54,14,108,7591,13,95
Goliad County,2019,1,3,16,19,49,11,101,7583,20,79
Goliad County,2020,0,1,20,31,42,9,104,7683,21,82
Gonzales County,2015,1,12,101,97,266,14,492,19567,114,377
Gonzales County,2016,0,19,90,87,249,15,463,20679,109,351
Gonzales County,2017,0,15,66,74,169,21,348,21049,81,264
Gonzales County,2018,0,18,101,62,169,8,363,21005,119,239
Gonzales County,2019,1,18,92,57,217,22,408,20835,111,296
Gonzales County,2020,1,14,102,42,123,23,309,19752,117,188
Gray County,2015,0,2,99,188,796,53,1145,23242,101,1037
Gray County,2016,3,2,97,216,682,53,1068,23295,102,951
Gray County,2017,0,4,116,195,612,41,974,22748,120,848
Gray County,2018,1,15,95,189,516,58,883,22334,111,763
Gray County,2019,0,18,115,166,519,33,859,21690,133,718
Gray County,2020,0,15,67,109,413,39,647,21750,82,561
Grayson County,2015,8,72,261,610,1745,235,2991,123389,341,2590
Grayson County,2016,5,49,243,574,1632,211,2752,123929,297,2417
Grayson County,2017,6,64,239,606,1663,238,2868,125570,309,2507
Grayson County,2018,3,75,179,501,1443,193,2443,130122,257,2137
Grayson County,2019,5,70,223,492,1448,214,2492,132673,298,2154
Grayson County,2020,9,76,262,450,1342,253,2432,135314,347,2045
Gregg County,2015,19,74,375,1131,3960,424,6136,132004,468,5515
Gregg County,2016,15,82,404,1139,3631,358,5773,132332,501,5128
Gregg County,2017,9,88,352,894,2714,368,4541,132027,449,3976
Gregg County,2018,8,78,323,751,2413,318,3950,131281,409,3482
Gregg County,2019,9,95,337,638,2453,293,3902,131168,441,3384
Gregg County,2020,14,92,274,568,2398,314,3722,131770,380,3280
Grimes County,2015,0,9,76,150,286,27,553,27379,85,463
Grimes County,2016,5,5,60,146,277,38,541,27614,70,461
Grimes County,2017,5,7,36,107,180,22,366,27822,48,309
Grimes County,2018,0,5,34,108,139,43,332,28219,39,290
Grimes County,2019,0,12,21,124,164,40,365,28406,33,328
Grimes County,2020,0,17,52,108,172,57,417,29045,69,337
Guadalupe County,2015,4,70,120,550,1764,126,2655,140029,194,2440
Guadalupe County,2016,5,79,161,483,2039,169,2971,142459,245,2691
Guadalupe County,2017,6,98,164,456,1867,147,2779,146374,268,2470
Guadalupe County,2018,5,69,180,357,1663,119,2431,149399,254,2139
Guadalupe County,2019,3,74,160,320,1532,121,2241,152024,237,1973
Guadalupe County,2020,0,78,153,336,1353,163,2110,154998,231,1852
Hale County,2015,0,7,42,225,751,34,1066,33005,49,1010
Hale County,2016,0,9,65,190,684,44,998,32534,74,918
Hale County,2017,0,21,59,154,500,63,808,32586,80,717
Hale County,2018,0,7,78,140,437,23,691,32421,85,600
Hale County,2019,0,5,55,157,421,32,674,32021,60,610
Hale County,2020,1,10,38,121,323,38,536,31710,49,482
Hall County,2015,0,2,5,5,7,2,22,3245,7,14
Hall County,2016,0,0,9,15,16,0,42,3088,9,31
Hall County,2017,0,0,20,3,7,2,32,3101,20,12
Hall County,2018,0,0,8,25,15,7,55,2892,8,47
Hall County,2019,1,0,2,9,9,0,22,2841,3,18
Hall County,2020,0,0,0,3,5,1,9,2786,0,9
Hamilton County,2015,0,0,8,42,80,8,139,6828,8,130
Hamilton County,2016,0,1,17,40,66,9,135,6754,18,115
Hamilton County,2017,0,2,18,16,67,5,108,6907,20,88
Hamilton County,2018,0,1,5,14,56,11,87,7006,6,81
Hamilton County,2019,0,5,9,16,30,4,64,7043,14,50
Hamilton County,2020,0,1,5,6,46,1,60,7015,6,53
Hansford County,2015,0,1,2,6,14,4,27,5497,3,24
Hansford County,2016,0,0,8,0,11,0,19,5595,8,11
Hansford County,2017,0,0,2,6,9,2,19,5522,2,17
Hansford County,2018,0,1,8,12,3,5,29,5411,9,20
Hansford County,2019,0,1,4,7,6,6,24,5412,5,19
Hansford County,2020,0,1,9,5,10,4,29,5359,10,19
Hardeman County,2015,2,0,1,19,14,3,39,3217,3,36
Hardeman County,2016,0,0,2,15,24,5,46,3769,2,44
Hardeman County,2017,0,0,0,15,20,3,38,3862,0,38
Hardeman County,2018,0,0,0,2,4,0,6,3960,0,6
Hardeman County,2019,0,0,5,6,11,1,23,3870,5,18
Hardeman County,2020,0,0,2,8,17,0,27,3896,2,25
Hardin County,2015,2,17,78,175,540,63,881,55945,97,778
Hardin County,2016,3,14,66,186,478,84,832,55912,83,748
Hardin County,2017,0,5,76,158,430,69,746,56519,81,657
Hardin County,2018,3,15,60,167,401,97,755,57322,78,665
Hardin County,2019,3,7,75,129,336,79,636,57156,85,544
Hardin County,2020,2,15,50,128,310,110,621,57727,67,548
Harris County,2015,404,1681,16599,32350,108284,21777,195386,4564664,18684,162411
Harris County,2016,409,2011,18706,30221,112200,20484,197686,4646508,21126,162905
Harris County,2017,376,2186,20660,27348,108968,18496,191319,4702468,23222,154812
Harris County,2018,383,2294,21032,25594,105155,19563,185574,4753437,23709,150312
Harris County,2019,398,2618,20005,26073,113162,20849,195047,4776485,23021,160084
Harris County,2020,566,2571,26095,24197,109103,23768,197590,4799254,29232,157068
Harrison County,2015,2,19,155,326,752,81,1353,65939,176,1159
Harrison County,2016,3,24,137,419,787,74,1477,64783,164,1280
Harrison County,2017,0,36,154,504,939,142,1806,64634,190,1585
Harrison County,2018,6,14,160,292,864,105,1464,64649,180,1261
Harrison County,2019,6,4,152,352,837,112,1483,64461,162,1301
Harrison County,2020,5,9,179,251,615,113,1190,64448,193,979
Hartley County,2015,0,0,1,12,6,2,21,3334,1,20
Hartley County,2016,0,0,1,12,13,4,30,3368,1,29
Hartley County,2017,1,0,0,4,6,2,13,2885,1,12
Hartley County,2018,0,0,1,5,2,0,8,2912,1,7
Hartley County,2019,0,0,0,3,3,4,10,2867,0,10
Hartley County,2020,0,0,0,1,1,2,4,2905,0,4
Haskell County,2015,0,1,4,10,24,4,43,6360,5,38
Haskell County,2016,0,0,7,15,23,14,60,5660,7,52
Haskell County,2017,0,2,5,16,12,4,41,5611,7,32
Haskell County,2018,0,0,1,14,11,1,28,5679,1,26
Haskell County,2019,0,1,8,12,21,9,51,5734,9,42
Haskell County,2020,0,0,5,10,19,9,43,5581,5,38
Hays County,2015,7,75,314,593,2809,235,4097,192808,396,3637
Hays County,2016,5,94,286,695,2867,378,4417,202392,385,3940
Hays County,2017,7,104,273,568,2436,319,3790,213179,384,3323
Hays County,2018,4,139,315,523,2330,189,3569,223395,458,3042
Hays County,2019,9,141,250,476,2555,262,3751,230891,400,3293
Hays County,2020,10,169,315,510,2340,276,3679,239175,494,3126
Hemphill County,2015,0,1,17,12,56,8,94,4291,18,76
Hemphill County,2016,0,2,9,7,25,5,49,4351,11,37
Hemphill County,2017,0,0,0,2,10,1,13,4184,0,13
Hemphill County,2018,0,0,1,7,18,3,29,4048,1,28
Hemphill County,2019,0,3,2,1,12,0,18,3807,5,13
Hemphill County,2020,0,6,1,2,8,0,17,3810,7,10
Henderson County,2015,1,58,137,652,960,171,1997,79458,196,1783
Henderson County,2016,3,66,207,639,911,178,2018,79323,276,1728
Henderson County,2017,6,58,189,526,789,115,1703,79862,253,1430
Henderson County,2018,4,56,155,351,626,108,1320,78727,215,1085
Henderson County,2019,2,72,123,412,526,128,1277,79754,197,1066
Henderson County,2020,3,69,102,323,410,116,1035,79124,174,849
Hidalgo County,2015,32,348,1698,4232,19055,1112,26874,846417,2078,24399
Hidalgo County,2016,22,420,1638,3945,19088,1094,26651,847000,2080,24127
Hidalgo County,2017,38,412,1696,3233,17517,781,24038,855337,2146,21531
Hidalgo County,2018,12,467,1510,2791,16632,688,22443,864550,1989,20111
Hidalgo County,2019,21,447,1537,2524,15824,757,21446,863062,2005,19105
Hidalgo County,2020,38,432,1590,2059,12667,845,17902,859852,2060,15571
Hill County,2015,2,6,61,197,517,24,816,34855,69,738
Hill County,2016,0,8,39,190,409,21,682,34698,47,620
Hill County,2017,2,12,36,146,452,45,699,33664,50,643
Hill County,2018,1,19,51,136,467,48,729,34471,71,651
Hill County,2019,1,12,40,85,432,47,621,34877,53,564
Hill County,2020,1,13,33,110,335,41,537,35291,47,486
Hockley County,2015,1,21,104,176,446,18,775,23818,126,640
Hockley County,2016,0,26,80,183,419,24,737,23480,106,626
Hockley County,2017,1,19,109,144,399,38,713,23322,129,581
Hockley County,2018,1,26,101,167,345,38,682,23058,128,550
Hockley County,2019,2,28,121,142,320,30,653,22852,151,492
Hockley County,2020,2,19,114,159,276,61,638,22961,135,496
Hood County,2015,2,11,74,213,721,42,1067,53918,87,976
Hood County,2016,0,14,77,168,647,42,957,55264,91,857
Hood County,2017,1,24,90,152,684,51,1006,56861,115,887
Hood County,2018,2,23,63,136,698,52,982,58236,88,886
Hood County,2019,2,15,57,133,593,73,881,60425,74,799
Hood County,2020,3,17,68,110,687,49,935,61659,88,846
Hopkins County,2015,2,15,44,102,268,34,473,36179,61,404
Hopkins County,2016,0,9,37,71,241,28,392,36323,46,340
Hopkins County,2017,2,10,48,51,173,24,313,36565,60,248
Hopkins County,2018,4,14,26,59,131,37,280,36582,44,227
Hopkins County,2019,1,15,37,36,144,49,289,36783,53,229
Hopkins County,2020,5,17,40,37,152,56,314,37172,62,245
Houston County,2015,1,2,57,89,224,30,408,22558,60,343
Houston County,2016,1,1,52,132,259,22,467,22541,54,413
Houston County,2017,0,0,47,107,207,19,385,22578,47,333
Houston County,2018,0,2,41,73,197,17,331,22864,43,287
Houston County,2019,1,2,35,72,158,12,280,22962,38,242
Houston County,2020,0,2,28,69,169,13,284,22813,30,251
Howard County,2015,2,13,219,352,1103,102,1824,37151,234,1557
Howard County,2016,3,10,169,371,1179,93,1840,37551,182,1643
Howard County,2017,3,9,162,260,816,100,1373,36962,174,1176
Howard County,2018,3,14,175,205,685,110,1207,36095,192,1000
Howard County,2019,3,15,167,227,911,189,1534,36420,185,1327
Howard County,2020,2,11,147,188,702,143,1206,36732,160,1033
Hudspeth County,2015,0,0,1,11,15,0,27,3158,1,26
Hudspeth County,2016,0,0,4,0,11,1,16,3354,4,12
Hudspeth County,2017,0,0,1,0,1,1,3,4166,1,2
Hudspeth County,2018,0,0,3,20,4,8,35,4558,3,32
Hudspeth County,2019,0,0,8,3,9,2,22,4972,8,14
Hudspeth County,2020,0,1,1,5,6,4,17,5068,2,15
Hunt County,2015,0,40,162,543,1175,159,2124,86037,202,1877
Hunt County,2016,6,36,198,468,1112,168,2036,87029,240,1748
Hunt County,2017,7,59,209,420,962,154,1851,87721,275,1536
Hunt County,2018,3,55,300,255,828,113,1569,89224,358,1196
Hunt County,2019,7,40,399,308,978,168,1938,91540,446,1454
Hunt County,2020,2,45,360,187,786,188,1601,93688,407,1161
Hutchinson County,2015,0,30,69,212,412,43,776,19855,99,667
Hutchinson County,2016,0,18,39,204,347,45,657,19725,57,596
Hutchinson County,2017,2,32,29,180,374,46,666,19552,63,600
Hutchinson County,2018,0,16,31,98,409,47,605,19394,47,554
Hutchinson County,2019,0,18,32,103,253,25,435,19155,50,381
Hutchinson County,2020,0,11,35,125,268,42,482,20730,46,435
Irion County,2015,1,0,0,4,25,0,30,1568,1,29
Irion County,2016,0,0,1,9,20,0,30,1538,1,29
Irion County,2017,0,0,1,11,9,4,25,1546,1,24
Irion County,2018,0,1,3,7,20,3,34,1500,4,30
Irion County,2019,0,2,4,3,22,2,33,1502,6,27
Irion County,2020,0,0,1,1,8,4,14,1524,1,13
Jack County,2015,1,3,17,41,81,16,160,8834,21,138
Jack County,2016,0,6,17,37,72,15,147,8825,23,124
Jack County,2017,0,3,11,14,85,13,127,8691,14,112
Jack County,2018,1,1,10,22,58,24,116,8782,12,104
Jack County,2019,0,2,11,25,34,11,85,8768,13,70
Jack County,2020,0,3,13,19,48,9,92,8898,16,76
Jackson County,2015,0,5,21,50,154,6,239,14944,26,210
Jackson County,2016,0,6,26,53,141,9,238,14925,32,203
Jackson County,2017,1,5,8,46,117,13,194,14990,14,176
Jackson County,2018,0,8,11,49,99,11,180,14869,19,159
Jackson County,2019,1,4,9,29,92,13,150,14881,14,134
Jackson County,2020,0,5,22,57,110,21,220,14786,27,188
Jasper County,2015,0,33,91,186,595,38,948,35565,124,819
Jasper County,2016,0,28,88,266,422,44,858,35344,116,732
Jasper County,2017,1,35,90,225,391,45,798,33467,126,661
Jasper County,2018,2,21,67,165,445,56,762,35432,90,666
Jasper County,2019,3,18,84,241,469,78,895,35659,105,788
Jasper County,2020,2,18,83,184,364,96,751,33321,103,644
Jeff Davis County,2015,1,0,3,2,6,1,13,2174,4,9
Jeff Davis County,2016,0,1,1,8,0,0,10,2114,2,8
Jeff Davis County,2017,1,0,3,5,3,1,13,2175,4,9
Jeff Davis County,2018,1,1,3,1,4,1,11,2265,5,6
Jeff Davis County,2019,0,2,2,4,6,1,15,2227,4,11
Jeff Davis County,2020,0,0,2,4,5,2,13,2259,2,11
Jefferson County,2015,21,142,1074,2464,5870,465,10441,252206,1237,8799
Jefferson County,2016,20,144,1258,2321,5446,541,10245,253938,1422,8308
Jefferson County,2017,23,134,1275,2360,5635,699,10566,254794,1432,8694
Jefferson County,2018,27,151,1231,1718,4814,656,9075,256141,1409,7188
Jefferson County,2019,30,151,1196,1480,4578,591,8454,253726,1377,6649
Jefferson County,2020,35,153,1512,1508,4116,633,8367,250621,1700,6257
Jim Hogg County,2015,0,1,1,3,2,1,8,5257,2,6
Jim Hogg County,2016,0,0,2,4,5,0,11,5168,2,9
Jim Hogg County,2017,0,1,6,4,8,3,22,5118,7,15
Jim Hogg County,2018,0,0,4,4,9,0,18,5175,4,13
Jim Hogg County,2019,0,0,5,10,7,3,25,5210,5,20
Jim Hogg County,2020,0,2,10,18,12,4,46,5173,12,34
Jim Wells County,2015,4,18,179,422,940,49,1619,40654,201,1411
Jim Wells County,2016,0,27,178,549,1036,77,1876,40448,205,1662
Jim Wells County,2017,0,29,176,461,831,62,1565,40243,205,1354
Jim Wells County,2018,2,23,181,438,817,60,1526,38534,206,1315
Jim Wells County,2019,0,11,188,362,778,51,1401,38341,199,1191
Jim Wells County,2020,2,20,181,351,656,86,1307,38123,203,1093
Johnson County,2015,1,73,277,551,2094,171,3194,166918,351,2816
Johnson County,2016,2,67,261,555,1930,202,3051,169233,330,2687
Johnson County,2017,7,83,309,581,1868,251,3124,173283,399,2700
Johnson County,2018,5,93,340,376,1723,200,2772,177347,438,2299
Johnson County,2019,1,105,322,436,1502,238,2642,181033,428,2176
Johnson County,2020,4,86,360,352,1473,255,2563,186315,450,2080
Jones County,2015,0,4,17,76,137,23,258,14241,21,236
Jones County,2016,3,0,15,52,114,20,206,14217,18,186
Jones County,2017,2,4,35,70,97,15,226,14271,41,182
Jones County,2018,1,0,16,39,72,9,143,14250,17,120
Jones County,2019,0,2,9,46,79,8,145,14032,11,133
Jones County,2020,2,1,13,41,71,15,144,14308,16,127
Karnes County,2015,1,1,23,100,309,6,440,14949,25,415
Karnes County,2016,1,4,34,80,259,13,397,14954,39,352
Karnes County,2017,0,5,33,79,205,17,340,15306,38,301
Karnes County,2018,0,1,29,86,212,20,351,15189,30,318
Karnes County,2019,1,2,50,99,158,29,341,15650,53,286
Karnes County,2020,0,3,19,74,134,25,258,15629,22,233
Kaufman County,2015,2,48,150,549,1089,174,2045,113178,200,1812
Kaufman County,2016,2,52,190,453,1217,179,2130,116406,244,1849
Kaufman County,2017,3,55,181,448,1317,208,2260,120595,239,1973
Kaufman County,2018,6,72,150,320,1137,192,1906,125280,228,1649
Kaufman County,2019,4,53,144,413,1289,227,2162,131039,201,1929
Kaufman County,2020,5,55,149,343,1368,244,2200,139629,209,1955
Kendall County,2015,0,10,24,87,443,25,594,38550,34,555
Kendall County,2016,0,12,18,80,434,41,590,39764,30,555
Kendall County,2017,1,22,20,433,404,55,936,42011,43,892
Kendall County,2018,0,21,21,61,356,47,509,43365,42,464
Kendall County,2019,0,7,32,48,353,49,493,44724,39,450
Kendall County,2020,0,15,40,59,272,63,453,46604,55,394
Kenedy County,2015,0,1,0,2,1,1,5,397,1,4
Kenedy County,2016,0,3,3,3,2,2,13,404,6,7
Kenedy County,2017,0,0,3,0,3,0,6,402,3,3
Kenedy County,2018,0,0,2,1,2,2,7,416,2,5
Kenedy County,2019,0,0,0,2,3,3,8,442,0,8
Kenedy County,2020,0,0,2,0,3,7,12,402,2,10
Kent County,2015,0,0,2,3,12,0,20,781,2,15
Kent County,2016,0,0,3,5,5,0,13,754,3,10
Kent County,2017,0,0,0,1,3,0,4,762,0,4
Kent County,2018,0,1,1,0,8,1,11,755,2,9
Kent County,2019,0,0,4,2,3,0,9,711,4,5
Kent County,2020,0,0,0,4,4,0,8,754,0,8
Kerr County,2015,2,32,84,180,746,45,1095,50906,118,971
Kerr County,2016,8,28,81,180,715,46,1065,51069,117,941
Kerr County,2017,1,17,64,139,651,40,919,51765,82,830
Kerr County,2018,1,20,73,96,474,21,691,51882,94,591
Kerr County,2019,2,30,71,81,418,35,638,52432,103,534
Kerr County,2020,2,30,76,82,327,27,545,52759,108,436
Kimble County,2015,0,0,3,9,33,3,49,4413,3,45
Kimble County,2016,0,0,4,10,16,2,32,4336,4,28
Kimble County,2017,0,0,5,11,14,4,34,4391,5,29
Kimble County,2018,0,0,5,7,17,4,33,4371,5,28
Kimble County,2019,0,2,8,7,3,3,24,4306,10,13
Kimble County,2020,1,0,0,6,7,1,15,4294,1,14
King County,2015,0,0,0,3,1,0,4,257,0,4
King County,2016,0,0,0,0,0,0,0,280,0,0
King County,2017,0,0,0,0,0,0,0,290,0,0
King County,2018,0,0,0,0,0,0,0,296,0,0
Kinney County,2015,0,0,0,5,3,1,9,1882,0,9
Kinney County,2016,0,0,1,10,0,1,12,1880,1,11
Kinney County,2017,0,0,4,5,0,1,11,1913,4,6
Kinney County,2018,0,0,0,1,0,0,1,2008,0,1
Kinney County,2019,0,0,0,1,0,0,1,2007,0,1
Kinney County,2020,0,0,0,0,0,0,0,1977,0,0
Kleberg County,2015,1,2,118,237,754,38,1158,32284,121,1029
Kleberg County,2016,2,12,71,245,833,33,1206,31723,85,1111
Kleberg County,2017,1,14,124,244,774,36,1217,31597,139,1054
Kleberg County,2018,0,1,104,181,645,25,964,30869,105,851
Kleberg County,2019,3,31,101,209,612,28,998,30823,135,849
Kleberg County,2020,1,30,95,143,457,23,761,30429,126,623
Knox County,2015,0,1,9,42,28,3,83,5051,10,73
Knox County,2016,0,4,9,30,43,1,88,3876,13,74
Knox County,2017,0,2,6,17,16,2,43,3816,8,35
Knox County,2018,0,1,0,22,15,0,39,3698,1,37
Knox County,2019,0,2,1,24,14,5,46,3622,3,43
Knox County,2020,0,2,3,8,8,1,22,2390,5,17
La Salle County,2015,0,0,6,9,24,3,42,8233,6,36
La Salle County,2016,0,1,6,5,49,1,62,7763,7,55
La Salle County,2017,0,0,9,7,49,1,69,7731,9,57
La Salle County,2018,0,1,2,6,33,0,42,7664,3,39
La Salle County,2019,0,0,5,7,37,0,50,7565,5,44
La Salle County,2020,0,1,20,6,23,0,51,7565,21,29
Lamar County,2015,1,21,111,344,903,27,1431,49552,133,1274
Lamar County,2016,1,13,156,358,892,57,1508,49221,170,1307
Lamar County,2017,1,14,206,269,778,67,1367,49735,221,1114
Lamar County,2018,3,17,211,212,669,65,1202,49415,231,946
Lamar County,2019,1,41,228,222,608,70,1191,49404,270,900
