AgencyName,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Population,Year,County
LAVACA CO SO,0,2,2,10,55,30,6,105,10392,2016,Lavaca County
YOAKUM PD,0,1,3,10,44,49,1,108,6059,2016,Lavaca County
LEE CO SO,0,4,3,9,38,62,4,120,10623,2016,Lee County
GIDDINGS PD,0,1,4,13,0,104,6,128,5102,2016,Lee County
LEXINGTON PD,0,1,1,4,4,23,0,33,1183,2016,Lee County
LEON CO SO,0,2,0,22,79,120,12,235,15290,2016,Leon County
NORMANGEE PD (NR),0,0,0,4,8,9,3,24,695,2016,Leon County
DAYTON PD,1,6,3,22,32,178,30,272,7638,2016,Liberty County
CLEVELAND PD (NR),1,3,16,51,57,340,48,516,7893,2016,Liberty County
LIBERTY PD,0,6,1,30,36,274,19,366,9169,2016,Liberty County
LIBERTY CO SO,2,36,4,124,256,348,81,851,55509,2016,Liberty County
LIMESTONE CO SO,0,2,2,15,47,99,10,175,11528,2016,Limestone County
GROESBECK PD,0,3,1,4,43,57,2,110,4299,2016,Limestone County
MEXIA PD,1,7,10,43,47,174,12,294,7393,2016,Limestone County
MEXIA ISD PD (NR),0,0,0,0,2,4,0,6,0,2016,Limestone County
LIPSCOMB CO SO,0,0,0,4,2,10,0,16,3618,2016,Lipscomb County
THREE RIVERS PD,0,1,0,9,6,26,1,43,1996,2016,Live Oak County
LIVE OAK CO SO (NR),2,1,1,11,59,75,13,162,7667,2016,Live Oak County
GEORGE WEST PD (NR),0,0,1,9,4,21,0,35,2670,2016,Live Oak County
SUNRISE BEACH VILLAGE PD,0,0,0,1,4,4,0,9,734,2016,Llano County
LLANO CO SO,1,2,0,8,50,80,2,143,12962,2016,Llano County
LOVING CO SO,0,0,0,0,0,10,1,11,121,2016,Loving County
IDALOU PD,0,0,0,2,4,11,3,20,2343,2016,Lubbock County
SLATON PD,1,2,6,14,20,84,5,132,6061,2016,Lubbock County
LUBBOCK PD,6,177,471,2087,2678,8933,1050,15402,252900,2016,Lubbock County
LUBBOCK CO SO,0,15,9,85,193,420,74,796,31646,2016,Lubbock County
WOLFFORTH PD,0,0,0,0,11,38,2,51,4371,2016,Lubbock County
SHALLOWATER PD,0,0,1,0,15,9,4,29,2568,2016,Lubbock County
TEXAS TECH UNIV: LUBBOCK PD,0,4,1,1,13,438,7,464,0,2016,Lubbock County
IDALOU ISD PD,0,0,0,0,0,1,0,1,0,2016,Lubbock County
TAHOKA PD,0,2,0,4,10,23,5,44,2551,2016,Lynn County
LYNN CO SO,2,0,0,0,20,3,2,27,2436,2016,Lynn County
BRADY PD,0,0,0,2,21,95,6,124,5560,2016,McCulloch County
MCCULLOCH CO SO,1,0,0,1,1,5,0,8,2779,2016,McCulloch County
ROBINSON PD,0,3,1,25,20,75,3,127,11674,2016,McLennan County
HEWITT PD,0,2,3,17,29,98,6,155,14384,2016,McLennan County
RIESEL PD,0,0,0,2,5,4,0,11,1021,2016,McLennan County
MCGREGOR PD,0,4,0,7,11,10,1,33,5076,2016,McLennan County
WEST PD,0,0,0,5,12,34,4,55,2898,2016,McLennan County
BAYLOR UNIV PD,0,5,0,6,13,127,3,154,0,2016,McLennan County
BEVERLY HILLS PD,0,1,0,9,10,46,5,71,2034,2016,McLennan County
WACO PD,4,126,156,409,1087,3648,147,5577,133790,2016,McLennan County
MCLENNAN COMM COLLEGE PD,0,0,0,0,0,8,0,8,0,2016,McLennan County
TSTC: WACO PD,0,4,0,1,19,51,1,76,0,2016,McLennan County
LACY LAKEVIEW PD,0,5,4,16,40,180,15,260,6629,2016,McLennan County
WOODWAY PD,0,5,1,10,5,99,6,126,8836,2016,McLennan County
BELLMEAD PD,1,26,12,113,82,626,36,896,10212,2016,McLennan County
LORENA PD,0,1,1,0,2,25,3,32,1745,2016,McLennan County
MCLENNAN CO SO,1,25,4,62,184,268,64,608,45212,2016,McLennan County
MCMULLEN CO SO,0,0,0,1,12,14,0,27,841,2016,McMullen County
MADISONVILLE PD,0,1,5,29,41,122,12,210,4681,2016,Madison County
MADISONVILLE ISD PD (NR),0,1,1,1,0,2,0,5,0,2016,Madison County
MADISON CO SO,0,4,3,2,52,48,2,111,9331,2016,Madison County
MARION CO SO,0,4,1,41,80,66,10,202,8026,2016,Marion County
JEFFERSON PD,0,2,2,11,14,28,0,57,2038,2016,Marion County
MARTIN CO SO,0,0,0,2,32,33,2,69,2774,2016,Martin County
STANTON PD,0,3,1,3,2,41,1,51,3032,2016,Martin County
MASON CO SO,0,0,0,2,19,20,4,45,4024,2016,Mason County
MATAGORDA CO SO,1,9,6,49,126,192,18,401,14462,2016,Matagorda County
BAY CITY ISD PD,0,0,0,0,2,5,0,7,0,2016,Matagorda County
PALACIOS PD,0,4,0,9,39,88,9,149,4617,2016,Matagorda County
BAY CITY PD,1,9,12,35,152,593,4,806,17595,2016,Matagorda County
MAVERICK CO SO (NR),0,9,0,53,127,322,33,544,28943,2016,Maverick County
EAGLE PASS PD,1,0,10,32,145,533,11,732,29257,2016,Maverick County
DEVINE PD,0,3,1,12,19,80,6,121,4775,2016,Medina County
NATALIA PD,0,0,0,2,21,29,1,53,1504,2016,Medina County
CASTROVILLE PD,0,0,0,0,7,41,2,50,2960,2016,Medina County
MEDINA CO SO,2,20,1,25,121,219,32,420,28577,2016,Medina County
HONDO PD,0,13,2,51,49,248,9,372,9178,2016,Medina County
MENARD CO SO (NR),0,0,0,0,2,2,0,4,2144,2016,Menard County
MIDLAND CO SO,0,1,6,54,125,511,91,788,26048,2016,Midland County
MIDLAND PD,3,24,93,292,604,2563,185,3764,137780,2016,Midland County
MIDLAND ISD PD,0,0,0,13,1,25,0,39,0,2016,Midland County
ROCKDALE PD,0,4,0,9,55,95,5,168,5619,2016,Milam County
THORNDALE PD,0,0,0,3,5,12,0,20,1313,2016,Milam County
CAMERON PD,0,4,2,22,39,134,6,207,5445,2016,Milam County
MILAM CO SO,0,0,0,11,32,58,6,107,12032,2016,Milam County
MILLS CO SO,0,0,0,2,10,14,2,28,4875,2016,Mills County
MITCHELL CO SO (NR),0,0,0,1,8,5,0,14,4862,2016,Mitchell County
COLORADO CITY PD (NR),0,1,1,6,38,52,5,103,4111,2016,Mitchell County
BOWIE PD,0,2,4,5,67,255,21,354,5108,2016,Montague County
MONTAGUE CO SO,0,0,0,9,12,31,6,58,10083,2016,Montague County
NOCONA PD (NR),0,1,1,9,7,4,2,24,2921,2016,Montague County
OAK RIDGE NORTH PD,0,0,1,3,7,66,3,80,3181,2016,Montgomery County
STAGECOACH PD (NR),0,0,0,0,0,0,0,0,589,2016,Montgomery County
MONTGOMERY PD,0,1,0,3,8,14,0,26,849,2016,Montgomery County
WILLIS PD,0,7,13,31,42,125,14,232,6401,2016,Montgomery County
WOODBRANCH PD (CB),0,0,0,0,1,3,0,4,1396,2016,Montgomery County
MONTGOMERY CO SO,10,52,90,379,1011,3480,491,5513,453685,2016,Montgomery County
MAGNOLIA PD,0,0,4,1,17,17,4,43,1932,2016,Montgomery County
SPLENDORA PD,0,0,0,3,9,14,5,31,1697,2016,Montgomery County
CONROE ISD PD,0,5,0,10,15,118,0,148,0,2016,Montgomery County
CONROE PD,1,43,87,125,380,1673,189,2498,71111,2016,Montgomery County
PATTON VILLAGE PD,0,0,0,3,3,6,3,15,1632,2016,Montgomery County
ROMAN FOREST PD,0,0,0,0,2,9,2,13,1910,2016,Montgomery County
SHENANDOAH PD,1,0,5,0,14,250,13,283,2914,2016,Montgomery County
CACTUS PD,0,0,0,6,17,23,4,50,3198,2016,Moore County
MOORE CO SO,0,0,0,10,24,40,5,79,3992,2016,Moore County
DUMAS PD,0,3,1,19,44,177,11,255,15051,2016,Moore County
NAPLES PD (NR),1,1,1,0,13,29,3,48,1333,2016,Morris County
OMAHA PD (NR),0,0,0,1,3,5,1,10,986,2016,Morris County
MORRIS CO SO,0,4,0,7,31,39,11,92,6130,2016,Morris County
DAINGERFIELD PD,0,2,2,10,23,82,9,128,2432,2016,Morris County
LONE STAR PD,0,0,2,7,16,41,0,66,1514,2016,Morris County
MOTLEY CO SO,0,0,0,0,0,13,1,14,1133,2016,Motley County
STEPHEN F. AUSTIN UNIV PD,0,4,0,0,4,46,0,54,0,2016,Nacogdoches County
NACOGDOCHES CO SO,0,12,2,56,90,165,24,349,31593,2016,Nacogdoches County
NACOGDOCHES PD,1,32,27,59,185,645,38,987,34079,2016,Nacogdoches County
NAVARRO CO SO,0,3,0,17,55,126,16,217,22728,2016,Navarro County
CORSICANA PD,0,31,36,91,222,608,49,1037,23974,2016,Navarro County
NEWTON PD,0,0,0,2,15,10,1,28,2390,2016,Newton County
TSTC: SWEETWATER PD,0,0,0,0,0,2,0,2,0,2016,Nolan County
SWEETWATER PD,1,3,11,34,200,354,27,630,10785,2016,Nolan County
NOLAN CO SO,0,0,1,4,13,23,3,44,2927,2016,Nolan County
NUECES CO SO,2,9,2,52,92,118,6,281,15127,2016,Nueces County
BISHOP PD (NR),0,0,0,4,8,43,3,58,3154,2016,Nueces County
CORPUS CHRISTI PD,24,259,424,1621,2296,9246,656,14526,327948,2016,Nueces County
TX A&M UNIV: CORP CHRISTI PD,0,3,1,0,8,65,7,84,0,2016,Nueces County
ROBSTOWN PD,2,0,7,193,147,235,15,599,11596,2016,Nueces County
PORT ARANSAS PD,1,3,3,10,36,362,32,447,4055,2016,Nueces County
DRISCOLL PD,0,0,0,2,2,3,0,7,754,2016,Nueces County
PERRYTON PD,0,0,0,41,22,54,5,122,9354,2016,Ochiltree County
OCHILTREE CO SO,0,1,0,6,11,16,3,37,1480,2016,Ochiltree County
OLDHAM CO SO,0,0,0,3,5,3,0,11,2067,2016,Oldham County
ORANGE PD,3,0,39,84,177,301,52,656,19493,2016,Orange County
PINEHURST PD,0,0,1,7,4,48,4,64,2078,2016,Orange County
ORANGE CO SO,0,10,7,73,196,361,88,735,39958,2016,Orange County
WEST ORANGE PD,0,0,6,5,25,137,19,192,3459,2016,Orange County
VIDOR PD,0,0,4,32,81,258,31,406,10991,2016,Orange County
BRIDGE CITY PD,1,1,0,14,26,75,15,132,7959,2016,Orange County
MINERAL WELLS PD,0,1,3,52,138,459,52,705,14391,2016,Palo Pinto County
PALO PINTO CO SO,0,0,1,1,55,33,7,97,13518,2016,Palo Pinto County
PANOLA CO SO,0,3,1,23,94,163,34,318,16572,2016,Panola County
CARTHAGE PD,0,0,5,19,39,264,12,339,6858,2016,Panola County
WEATHERFORD PD,0,14,9,29,82,502,31,667,29422,2016,Parker County
PARKER CO SO,1,23,3,83,258,428,61,857,85806,2016,Parker County
SPRINGTOWN PD,0,2,0,2,10,40,2,56,2841,2016,Parker County
HUDSON OAKS PD,0,2,1,1,11,105,1,121,2262,2016,Parker County
WILLOW PARK PD,0,0,0,2,9,29,4,44,5130,2016,Parker County
FRIONA PD,0,1,0,0,12,16,5,34,3849,2016,Parmer County
FARWELL PD,0,0,0,0,5,11,1,17,1301,2016,Parmer County
BOVINA PD,0,1,0,5,2,4,1,13,1750,2016,Parmer County
PARMER CO SO,0,0,0,1,16,18,0,35,2719,2016,Parmer County
FORT STOCKTON PD,0,5,1,39,43,168,10,266,8721,2016,Pecos County
PECOS CO SO,1,1,1,6,45,14,1,69,7573,2016,Pecos County
LIVINGSTON PD,0,6,4,16,22,173,15,236,5140,2016,Polk County
CORRIGAN PD,0,3,0,10,16,17,3,49,1529,2016,Polk County
POLK CO SO,1,31,8,29,221,354,62,706,38699,2016,Polk County
ONALASKA PD,0,0,0,8,10,1,3,22,1770,2016,Polk County
AMARILLO INTL AIRPORT PD,0,0,0,0,0,2,0,2,0,2016,Potter County
AMARILLO COLLEGE PD,0,0,0,0,0,27,1,28,0,2016,Potter County
AMARILLO PD,12,172,260,996,1809,6813,928,10990,200141,2016,Potter County
POTTER CO SO,3,3,7,29,65,134,36,277,15165,2016,Potter County
PRESIDIO CO SO,0,0,0,3,13,9,6,31,2870,2016,Presidio County
PRESIDIO PD (NR),0,0,0,1,4,11,1,17,3802,2016,Presidio County
RAINS CO SO,0,0,0,14,34,70,13,131,11175,2016,Rains County
CANYON PD,0,7,1,17,21,123,12,181,15212,2016,Randall County
RANDALL CO SO,0,14,1,28,94,193,52,382,22710,2016,Randall County
TX A&M UNIV: WEST PD,0,2,0,0,6,46,2,56,0,2016,Randall County
REAGAN CO SO,0,0,0,4,12,53,2,71,3876,2016,Reagan County
REAL CO SO,0,0,0,6,17,20,2,45,3295,2016,Real County
RED RIVER CO SO,0,2,0,6,41,44,2,95,8067,2016,Red River County
CLARKSVILLE PD,0,0,0,0,1,4,0,5,3170,2016,Red River County
BOGATA PD,0,0,0,3,4,18,0,25,1103,2016,Red River County
PECOS PD,1,6,2,49,31,158,2,249,9669,2016,Reeves County
REEVES CO SO,1,1,0,3,15,88,4,112,5210,2016,Reeves County
REFUGIO PD,0,0,1,22,6,14,2,45,2850,2016,Refugio County
REFUGIO CO SO,0,1,0,7,8,28,8,52,4403,2016,Refugio County
ROBERTS CO SO,0,0,0,0,1,6,1,8,911,2016,Roberts County
HEARNE PD,0,5,6,16,26,51,2,106,4459,2016,Robertson County
ROBERTSON CO SO,0,5,0,2,34,57,4,102,10106,2016,Robertson County
BREMOND PD,0,0,0,2,3,1,1,7,919,2016,Robertson County
CALVERT PD,0,0,1,2,8,11,1,23,1144,2016,Robertson County
ROCKWALL CO SO,0,5,3,14,20,40,11,93,22353,2016,Rockwall County
HEATH PD,0,4,0,3,13,34,1,55,8400,2016,Rockwall County
ROYSE CITY PD,1,1,3,10,17,83,8,123,11914,2016,Rockwall County
ROCKWALL PD,0,11,5,21,63,664,79,843,43542,2016,Rockwall County
RUNNELS CO SO,0,0,0,3,9,23,1,36,4200,2016,Runnels County
BALLINGER PD,0,1,0,15,46,58,5,125,3767,2016,Runnels County
WINTERS PD,0,1,1,1,34,44,4,85,2563,2016,Runnels County
HENDERSON PD,1,6,8,92,85,470,28,690,13491,2016,Rusk County
OVERTON PD,1,1,0,26,15,30,3,76,2532,2016,Rusk County
RUSK CO SO,2,13,2,78,196,310,59,660,32256,2016,Rusk County
TATUM PD,0,0,1,1,7,18,1,28,1378,2016,Rusk County
SABINE CO SO,0,4,0,25,63,73,14,179,8228,2016,Sabine County
HEMPHILL PD (NR),0,0,0,0,2,12,2,16,1209,2016,Sabine County
SAN AUGUSTINE PD,0,0,1,2,6,4,0,13,1989,2016,San Augustine County
SAN AUGUSTINE CO SO,1,5,0,30,39,33,9,117,6387,2016,San Augustine County
SAN JACINTO CO SO,1,13,4,29,144,170,48,409,27530,2016,San Jacinto County
SINTON PD,0,3,0,50,39,140,5,237,5756,2016,San Patricio County
PORTLAND PD,1,5,3,12,56,465,26,568,16340,2016,San Patricio County
TAFT ISD PD,0,0,0,1,1,1,0,3,0,2016,San Patricio County
MATHIS PD,0,0,2,49,43,97,6,197,5062,2016,San Patricio County
GREGORY PD (NR),0,0,0,4,3,3,1,11,2012,2016,San Patricio County
INGLESIDE PD,0,1,0,1,30,31,2,65,9769,2016,San Patricio County
TAFT PD,0,0,0,9,9,54,0,72,3104,2016,San Patricio County
SAN PATRICIO CO SO (NR),2,0,0,29,108,169,26,334,17398,2016,San Patricio County
SAN SABA CO SO,0,1,0,1,11,10,5,28,2836,2016,San Saba County
SAN SABA PD,0,0,0,2,1,2,0,5,3004,2016,San Saba County
SCHLEICHER CO SO,0,0,0,0,13,40,1,54,3148,2016,Schleicher County
SCURRY CO SO,0,1,1,9,30,34,3,78,5819,2016,Scurry County
SNYDER PD,0,2,0,7,74,227,4,314,11882,2016,Scurry County
SHACKELFORD CO SO,0,1,0,1,9,18,5,34,3337,2016,Shackelford County
CENTER PD,0,7,1,24,34,216,7,289,5218,2016,Shelby County
SHELBY CO SO,1,3,2,21,81,86,9,203,18955,2016,Shelby County
STRATFORD PD (NR),0,0,1,4,2,2,0,9,2085,2016,Sherman County
SHERMAN CO SO,0,0,0,1,0,3,1,5,987,2016,Sherman County
SMITH CO SO,2,3,41,180,750,1252,257,2485,99669,2016,Smith County
BULLARD PD,0,1,0,7,11,53,2,74,2906,2016,Smith County
TYLER JR COLLEGE PD,0,0,1,1,6,54,2,64,0,2016,Smith County
UNIV OF TX: TYLER PD,0,0,0,0,4,21,1,26,0,2016,Smith County
UNIV OF TX: HSC - TYLER PD,0,0,0,3,0,9,0,12,0,2016,Smith County
ARP PD,0,0,0,0,0,0,0,0,1001,2016,Smith County
TROUP PD (NR),0,0,0,3,8,16,2,29,1986,2016,Smith County
WHITEHOUSE PD,0,11,1,22,18,72,2,126,8286,2016,Smith County
LINDALE PD,0,3,0,21,46,161,6,237,5883,2016,Smith County
TYLER PD,5,66,107,252,622,2966,159,4177,105044,2016,Smith County
SOMERVELL CO SO,0,0,1,12,33,32,5,83,8762,2016,Somervell County
RIO GRANDE CITY ISD PD,0,0,0,8,8,43,0,59,0,2016,Starr County
STARR CO SO,4,20,9,82,100,155,43,413,37605,2016,Starr County
LA GRULLA PD,0,0,0,4,3,13,0,20,1709,2016,Starr County
RIO GRANDE CITY PD,0,0,4,13,30,162,35,244,14518,2016,Starr County
ROMA PD,0,3,0,16,30,94,21,164,10310,2016,Starr County
STEPHENS CO SO,0,2,0,2,15,13,2,34,3824,2016,Stephens County
BRECKENRIDGE PD,0,9,0,6,30,97,4,146,5556,2016,Stephens County
STERLING CO SO,0,0,0,0,0,0,1,1,1396,2016,Sterling County
STONEWALL CO SO (NR),0,0,0,2,4,0,1,7,1390,2016,Stonewall County
SONORA PD,0,2,0,0,14,29,0,45,2841,2016,Sutton County
SUTTON CO SO,0,0,0,0,1,0,0,1,1032,2016,Sutton County
KRESS PD (NR),0,1,0,2,1,0,1,5,681,2016,Swisher County
SWISHER CO SO,0,0,0,2,12,10,0,24,1457,2016,Swisher County
TULIA PD,0,8,3,34,16,78,1,140,4716,2016,Swisher County
WESTOVER HILLS PD,0,0,0,1,2,4,0,7,729,2016,Tarrant County
FORT WORTH PD,66,580,1166,2756,5323,20537,2400,32828,851849,2016,Tarrant County
WHITE SETTLEMENT PD,1,0,17,12,108,257,68,463,17267,2016,Tarrant County
EVERMAN PD,1,1,4,16,36,138,19,215,6399,2016,Tarrant County
PELICAN BAY PD,1,0,1,0,4,2,1,9,1653,2016,Tarrant County
UNIV OF TX: ARLINGTON PD,0,4,3,4,12,100,3,126,0,2016,Tarrant County
NORTH RICHLAND HILLS PD,2,35,39,53,198,1090,83,1500,70409,2016,Tarrant County
ARLINGTON PD,21,307,557,1303,2115,9189,1079,14571,392666,2016,Tarrant County
EULESS PD,2,12,47,51,212,890,113,1327,54791,2016,Tarrant County
HALTOM CITY PD,0,30,30,57,222,738,99,1176,44558,2016,Tarrant County
COLLEYVILLE PD,0,1,2,3,45,100,4,155,26038,2016,Tarrant County
LAKE WORTH PD,0,0,10,5,101,339,11,466,4870,2016,Tarrant County
KELLER PD,0,8,3,19,48,210,7,295,47047,2016,Tarrant County
DALWORTHINGTON GARDENS PD,0,0,2,1,15,21,1,40,2395,2016,Tarrant County
TARRANT CO SO,3,40,14,56,249,481,93,936,50138,2016,Tarrant County
WATAUGA PD,1,17,8,20,55,353,18,472,24725,2016,Tarrant County
AZLE PD,1,0,2,14,65,245,21,348,11854,2016,Tarrant County
KENNEDALE PD,1,3,3,5,56,91,8,167,7910,2016,Tarrant County
HURST PD,1,16,39,39,156,1402,70,1723,39345,2016,Tarrant County
BENBROOK PD,2,7,10,17,80,353,24,493,22906,2016,Tarrant County
TEXAS CHRISTIAN UNIV PD,0,3,0,1,16,111,2,133,0,2016,Tarrant County
LAKESIDE PD,0,0,0,1,1,4,2,8,1401,2016,Tarrant County
FOREST HILL PD,3,2,33,22,84,290,53,487,12984,2016,Tarrant County
CROWLEY PD,2,0,2,12,34,275,14,339,15272,2016,Tarrant County
PANTEGO PD,0,0,1,6,7,50,4,68,2558,2016,Tarrant County
RIVER OAKS PD,0,0,3,10,32,85,9,139,7782,2016,Tarrant County
MANSFIELD PD,1,17,19,31,118,610,49,845,65882,2016,Tarrant County
SANSOM PARK PD,0,0,1,8,25,18,17,69,4892,2016,Tarrant County
SAGINAW PD,1,16,6,16,68,361,47,515,22540,2016,Tarrant County
WESTWORTH VILLAGE PD,0,2,2,2,5,208,3,222,2687,2016,Tarrant County
BEDFORD PD,0,22,34,63,158,829,74,1180,49803,2016,Tarrant County
BLUE MOUND PD,0,0,0,0,5,20,4,29,2509,2016,Tarrant County
SOUTHLAKE PD,2,0,4,13,52,330,14,415,30644,2016,Tarrant County
GRAPEVINE PD,0,7,20,60,139,1052,65,1343,52423,2016,Tarrant County
DALLAS-FORT WORTH INTERNATIONAL AIRPORT PD,0,2,1,6,8,455,37,509,0,2016,Tarrant County
RICHLAND HILLS PD,0,7,5,7,38,197,21,275,8159,2016,Tarrant County
TARRANT CO HOSPITAL DISTRICT PD,0,1,1,7,0,179,1,189,0,2016,Tarrant County
MERKEL PD,0,0,0,7,10,25,1,43,2619,2016,Taylor County
HARDIN SIMMONS UNIV PD,0,0,0,0,0,20,0,20,0,2016,Taylor County
TYE PD,0,0,1,0,5,26,0,32,1263,2016,Taylor County
ABILENE CHRISTIAN UNIV PD  (NR),0,2,0,2,12,61,0,77,0,2016,Taylor County
ABILENE PD,8,70,133,335,905,3113,251,4815,122523,2016,Taylor County
TAYLOR CO SO,0,6,0,21,74,72,9,182,15770,2016,Taylor County
TERRELL CO SO,2,0,0,0,3,8,1,14,805,2016,Terrell County
TERRY CO SO,0,0,0,4,13,34,2,53,2966,2016,Terry County
BROWNFIELD PD,1,3,2,22,63,108,10,209,9750,2016,Terry County
THROCKMORTON CO SO,0,0,0,0,0,0,0,0,1564,2016,Throckmorton County
TITUS CO SO,1,11,1,32,87,84,8,224,16513,2016,Titus County
MOUNT PLEASANT PD,0,16,13,44,117,451,17,658,16058,2016,Titus County
SAN ANGELO PD,6,70,55,253,887,3873,281,5425,101870,2016,Tom Green County
TOM GREEN CO SO,0,18,4,7,190,183,30,432,17425,2016,Tom Green County
ANGELO STATE UNIV PD,0,2,0,0,7,53,1,63,0,2016,Tom Green County
TRAVIS CO SO,10,53,64,557,856,2234,249,4023,200557,2016,Travis County
PFLUGERVILLE PD,2,21,28,93,119,789,40,1092,58975,2016,Travis County
PFLUGERVILLE ISD PD,0,2,0,12,4,36,1,55,0,2016,Travis County
JONESTOWN PD,0,2,0,1,9,18,4,34,2074,2016,Travis County
AUSTIN ISD PD,0,2,4,11,35,368,6,426,0,2016,Travis County
WEST LAKE HILLS PD,0,0,1,0,11,61,4,77,3364,2016,Travis County
MANOR PD,1,2,4,29,22,252,5,315,8200,2016,Travis County
UNIV OF TX: AUSTIN PD,1,5,3,4,10,325,2,350,0,2016,Travis County
LAGO VISTA PD,0,6,2,27,18,45,5,103,6643,2016,Travis County
BEE CAVE PD,0,5,1,6,25,106,7,150,6891,2016,Travis County
TEXAS DEPARTMENT OF PUBLIC SAFETY,0,0,0,0,0,0,0,0,0,2016,Travis County
MUSTANG RIDGE PD,0,0,0,1,5,2,3,11,990,2016,Travis County
LAKEWAY PD,0,6,0,13,22,170,12,223,14771,2016,Travis County
AUSTIN PD,39,747,1048,2069,5252,26204,2119,37478,956911,2016,Travis County
ROLLINGWOOD PD,0,0,0,0,2,4,0,6,1570,2016,Travis County
SUNSET VALLEY PD,0,0,1,7,8,129,0,145,708,2016,Travis County
TRINITY CO SO,0,4,0,16,66,95,9,190,11555,2016,Trinity County
TYLER CO SO,2,13,5,55,122,92,24,313,18745,2016,Tyler County
WOODVILLE PD,0,2,1,0,6,5,0,14,2457,2016,Tyler County
GILMER PD,0,3,1,36,32,142,20,234,5246,2016,Upshur County
BIG SANDY PD,0,0,0,0,0,0,0,0,1380,2016,Upshur County
EAST MOUNTAIN PD,0,0,0,1,3,3,0,7,818,2016,Upshur County
UPSHUR CO SO,0,3,4,42,162,161,35,407,29549,2016,Upshur County
UPTON CO SO,0,2,0,3,4,11,0,20,3706,2016,Upton County
SABINAL PD,0,0,1,1,2,35,0,39,1721,2016,Uvalde County
UVALDE CO SO,3,0,1,7,40,61,2,114,8987,2016,Uvalde County
UVALDE PD,0,9,5,33,82,543,15,687,16619,2016,Uvalde County
VAL VERDE CO SO,0,3,2,7,84,97,7,200,12661,2016,Val Verde County
DEL RIO PD,1,3,11,43,156,664,24,902,36177,2016,Val Verde County
VAN ZANDT CO SO,0,0,1,2,157,154,1,315,38958,2016,Van Zandt County
CANTON PD,0,0,0,0,0,86,6,92,3790,2016,Van Zandt County
EDGEWOOD PD,0,0,0,3,2,0,0,5,1452,2016,Van Zandt County
VAN PD,0,1,0,1,11,31,6,50,2695,2016,Van Zandt County
GRAND SALINE PD,0,4,0,1,9,38,4,56,3130,2016,Van Zandt County
WILLS POINT PD,1,4,1,8,15,43,4,76,3551,2016,Van Zandt County
VICTORIA PD,5,42,60,162,500,1720,95,2584,68603,2016,Victoria County
VICTORIA CO SO,0,28,6,63,178,290,36,601,24649,2016,Victoria County
HUNTSVILLE PD,0,28,26,118,141,560,49,922,41390,2016,Walker County
WALKER CO SO,1,20,6,64,99,130,47,367,29607,2016,Walker County
BROOKSHIRE PD,0,1,6,16,34,28,15,100,5203,2016,Waller County
WALLER CO SO,1,22,1,22,114,205,22,387,26941,2016,Waller County
TX A&M UNIV: PRAIRIE VIEW PD,0,2,0,0,21,0,0,23,0,2016,Waller County
HEMPSTEAD PD,0,10,9,59,37,122,4,241,7403,2016,Waller County
PRAIRIE VIEW PD,0,0,1,6,16,17,1,41,6538,2016,Waller County
WALLER PD,0,0,1,7,19,40,6,73,2559,2016,Waller County
MONAHANS PD,0,5,1,18,32,100,12,168,7854,2016,Ward County
WARD CO SO,0,6,1,42,54,72,14,189,4070,2016,Ward County
BRENHAM PD,1,13,9,21,92,264,34,434,16736,2016,Washington County
WASHINGTON CO SO,0,5,2,19,68,59,4,157,18137,2016,Washington County
TX A&M UNIV: INTERNATIONAL PD,0,5,0,1,12,21,0,39,0,2016,Webb County
WEBB CO SO,0,0,3,32,84,138,4,261,8602,2016,Webb County
LAREDO COLLEGE PD (NR),0,0,0,0,0,10,0,10,0,2016,Webb County
UNITED ISD PD,0,0,2,3,5,22,2,34,0,2016,Webb County
LAREDO PD,12,148,160,620,1015,6646,229,8830,259325,2016,Webb County
RIO BRAVO PD (NR),0,0,0,0,0,0,0,0,4819,2016,Webb County
WHARTON CO SO,0,16,2,56,125,159,32,390,21088,2016,Wharton County
WHARTON PD,0,3,9,37,44,377,19,489,8706,2016,Wharton County
EL CAMPO PD,1,4,6,39,48,279,12,389,11604,2016,Wharton County
SHAMROCK PD (NR),0,0,1,4,6,10,1,22,2007,2016,Wheeler County
WHEELER CO SO,0,0,0,5,14,39,2,60,3687,2016,Wheeler County
ELECTRA PD,0,0,0,5,21,37,3,66,2695,2016,Wichita County
IOWA PARK PD,0,1,0,4,20,55,2,82,6338,2016,Wichita County
WICHITA FALLS PD,9,124,123,189,825,2646,263,4179,104685,2016,Wichita County
WICHITA CO SO,0,0,0,7,38,31,22,98,6490,2016,Wichita County
BURKBURNETT PD,0,4,3,39,64,244,23,377,11088,2016,Wichita County
MIDWESTERN UNIV PD,0,1,0,1,21,37,0,60,0,2016,Wichita County
VERNON PD,0,11,4,45,69,249,12,390,10495,2016,Wilbarger County
WILBARGER CO SO,0,0,0,1,22,15,1,39,2401,2016,Wilbarger County
RAYMONDVILLE PD,0,7,4,69,92,277,5,454,11104,2016,Willacy County
LYFORD CISD PD,0,0,0,0,0,1,0,1,0,2016,Willacy County
RAYMONDVILLE ISD PD (NR),0,0,0,0,0,12,0,12,0,2016,Willacy County
PORT MANSFIELD PD (NR),0,1,0,0,0,20,0,21,0,2016,Willacy County
LYFORD PD,0,1,0,4,12,33,3,53,2605,2016,Willacy County
